AAA,Anaa
DIN,Dien Bien Phu
DIO,  Diomede
DIQ,DIVINOPOLIS
DIR,Dire Dawa
DIU,Diu
DIW,Dicwella SPB
DIY,Diyarbakir
DJB,Jambi
DJE,Djerba
DJG,Djanet
DJJ,Jayapura
DKA,Katsina
DKB,DE KALB
DKO,DAKOVICA/AMIKO
DKR,Dakar
DKS,DIKSON
DLA,Douala
DLC,Dalian
DLE,Dole
DLF,LAUGHLIN AFB/AIRPORT
DLG,Dillingham
DLH,Duluth International Apt
DLI,Dalat
DLM,Dalaman
DLS,COLUMBIA GORGE RGNL/DALLES MUN
DLU,Dali
DLY,Dillons Bay
DLZ,Dalanzadgad
DMA,DAVIS MONTHAN AFB
DMB,Taraz
DMD,Doomadgee Mission
DME,Moscow Domodedovo Apt
DMK,Bangkok Don Mueang International Arpt
DMM,Dammam
DMN,DEMING MUNI AIRPORT
DMT,DIAMANTINA
DMU,Dimapur
DNA,KADENA
DND,Dundee
DNH,Dunhuang
DNK,Dnipropetrovsk
DNQ,DENILIQUIN
DNR,Dinard/St-Malo
DNV,DANVILLE/VERMILION COUNTY APT
DNX,DINDER/GALEGU
DNZ,Denizli
DOB,Dobo
DOD,DODOMA
DOG,DONGOLA
DOH,Doha
DOK,Donetsk
DOL,Deauville
DOM,Dominica Melville Hall Apt
DOP,  Dolpa
DOU,Dourados
DOV,DOVER AFB
DOY,Dongying
DPA,CHICAGO - DUPAGE
DPL,Dipolog
DPO,Devonport
DPS,Denpasar-Bali
DPT,Deputatsky
DQA,Daqing
DQM,Duqm Jaaluni Airport
DRA,MERCURY DESERT ROCK
DRB,DERBY
DRG,Deering
DRK,Drake Bay
DRO,Durango La Plata Apt
DRP,Bicol
DRS,Dresden
DRT,DEL RIO INTL
DRV,Dharavandhoo Island
DRW,Darwin International
DSA,Doncaster/Sheffield
DSE,Combolcha
DSK,Dera Ismail Khan
DSM,Des Moines
DSN,Ordos
DSS,Blaise Diagne
DTB,Silangit
DTD,Datadawai
DTE,DAET
DTI,Diamantina
DTM,Dortmund
DTU,Wudalianchi Dedu
DTW,Detroit Wayne County
DUB,Dublin
DUC,HALLIBURTON FLD
DUD,Dunedin
DUE,Dundo
DUG,DOUGLAS/BISBEE-DOUGLAS
DUJ,Dubois
DUM,Pinang Kampai
DUR,Durban King Shaka International Apt
DUS,Duesseldorf International Airport
DUT,Dutch Harbor
DVD,Andavadoaka
DVK,DIAVIK DIAMOND MINE
DVL,Devils Lake
DVO,Davao
DWB,  Soalala
DWC,Dubai Al Maktoum Intl
DWD,Dawadmi
DXB,Dubai International
DXJ,Xiangxi Biancheng
DYA,DYSART
DYG,Zhangjiajie
DYR,Anadyr
DYS,DYESS AFB
DYU,Dushanbe
DZA,Dzaoudzi
DZH,Dazhou Jinya
DZN,Zhezkazgan
DZO,DURAZNO/SANTA BERNARDINA
EAA,Eagle
EAE,Emae
EAL,Kwajalein Atoll MH
EAM,Nejran
EAR,Kearney
EAS,San Sebastian
EAT,Wenatchee
EAU,Eau Claire
EBA,MARINA DI CAMPO
EBB,Entebbe
EBD,EL OBEID
EBH,El Bayadh
EBJ,Esbjerg Airport
EBL,Erbil
EBM,EL BORMA
EBO,XXX
EBU,St-Etienne
ECA,EL CALAFATE
ECG,ELISABETH CITY CGAS
ECH,ECHUCA
ECN,Ercan
ECP,Panama City NW Florida Beaches Intl
EDA,Edna Bay
EDB,DEBBA
EDF,ANCHORAGE ELMENDORF AFB
EDI,Edinburgh
EDL,Eldoret
EDM,LA ROCHE SUR YON/LES AJONCS
EDO,BALIKESIR/KOERFEZ
EDR,Pormpuraaw
EDW,EDWARDS AFB
EEA,Planalto Serrano Regional
EED,NEEDLES
EEK,Eek
EFD,HOUSTON/ELLINGTON FIELD
EFG,  Efogi
EFL,Kefallinia
EGC,Bergerac
EGD,BOSCOMBE DOWN
EGE,Vail/Eagle County Apt
EGM,Seghe
EGN,Geneina
EGO,Belgorod
EGS,Egilsstadir
EGV,  Eagle River
EGX,Egegik
EHL,EL BOLSON
EHM,CAPE NEWENHAM
EHU,Ezhou Huahu Airport
EIE,  Yeniseysk
EIK,Eisk
EIL,EIELSON AFB/FAIRBANKS
EIN,Eindhoven Airport
EIS,Beef Island
EJA,Barrancabermeja
EJH,Wedjh
EJN,Ejin Banner Taolai
EJT,XXX
EKA,EUREKA
EKB,EKIBASTUZ
EKI,ELKHART
EKN,ELKINS
EKO,Elko
EKS,Shakhtersk
EKT,ESKILSTUNA
ELC,Elcho Island
ELD,El Dorado
ELF,El Fasher
ELG,El Golea
ELH,North Eleuthera
ELI,Elim
ELM,Elmira/Corning
ELO,ELY MUNI
ELP,El Paso International Apt
ELQ,Gassim
ELS,East London
ELT,EL TOR
ELU,El Oued
ELV,Elfin Cove
ELY,ELY AIRPORT YELLAND FIELD
EMA,Nottingham East Midlands Airport
EMD,Emerald
EME,EMDEN
EMK,Emmonak
EML,EMMEN
EMN,Néma
EMP,EMPORIA MUNI
ENA,Kenai
ENC,NANCY/ESSEY
ENE,Ende
ENF,ENONTEKIO
ENH,Enshi
ENI,  El Nido
ENK,ENNISKILLEN/ST ANGELO
ENL,CENTRALIA MUNI
ENN,NENANA
ENO,MARIANO MORENO
ENQ,CORONEL ENRIQUE SOTO CANO AB
ENS,ENSCHEDE/TWENTHE
ENT,ENEWETAK AUX AAF
ENU,Enugu
ENV,WENDOVER
ENY,Yan'an
EOH,Medellin Enrique Olaya Herrerra Apt
EOI,Eday
EOR,EL DORADO
EOZ,  Elorza
EPA,El Palomar
EPH,EPHRATA MUNI
EPL,Epinal
EPR,Esperance
EPU,P rnu
EQS,Esquel
ERC,Erzincan
ERF,Erfurt
ERH,ERRACHIDIA MOULAY ALI CHERIF
ERI,Erie
ERL,Erenhot
ERM,Erechim
ERN,Eirunepe
ERS,Windhoek Eros Apt
ERZ,Erzurum
ESB,Ankara Esenboga Apt
ESC,Escanaba
ESD,Eastsound
ESE,ENSENADA
ESF,ALEXANDRIA ESLER REGIONAL
ESH,SHOREHAM
ESK,ESKISEHIR
ESL,Elista
ESM,Esmeraldas
ESR,EL SALVADOR/RICARDO GARCIA P.
ESS,Essendon
ESU,Essaouira
ETH,Eilat
ETM,Ramon
ETR,Santa Rosa
ETZ,Metz/Nancy Lorraine
EUA,  Eua
EUG,Eugene
EUN,Laayoune
EUQ,Evelio Javier
EUX,St Eustatius
EVE,Harstad-Narvik
EVG,Sveg
EVN,Yerevan
EVV,Evansville
EVX,EVREUX/FAUVILLE
EWB,New Bedford
EWD,Wildman Lake
EWN,New Bern
EWR,New York Newark Liberty International Apt
EXI,Excursion Inlet
EXT,Exeter
EYK,Beloyarsky
EYP,El Yopal
EYW,Key West International Apt
EZE,Buenos Aires Ministro Pistarini
EZS,Elazig
EZV,Berezovo
F47,APALACHICOLA / ST. GEORGE ISL
FAA,FARANAH
FAB,FARNBOROUGH
FAC,Faaite
FAE,Faroe Islands
FAH,Farah
FAI,Fairbanks International Apt
FAK,FAKARAVA
FAN,FARSUND/LISTA
FAO,Faro
FAR,Fargo
FAT,Fresno Yosemite International Airport
FAU,Fahud
FAV,Fakarava
FAY,Fayetteville Municipal Apt
FBA,Fonte Boa
FBD,Faizabad
FBE,Francisco Beltrao
FBK,FAIRBANKS/FORT WAINWRIGHT AAF
FBM,Lubumbashi
FBS,Friday Harbor SPB
FCA,Kalispell
FCN,NORDHOLZ
FCO,Rome Fiumicino Apt
FCS,BUTTS ARMY AFLD FT CARSON
FDE,Forde
FDF,Fort de France
FDH,Friedrichshafen
FDK,FREDERICK MUNI
FDY,FINDLAY
FEC,FEIRA DE SANTANA/J.D.CARNEIRO
FEG,Fergana
FEL,FUERSTENFELDBRUCK
FEN,Fernando De Noronha
FEP,FREEPORT ALBERTUS
FEZ,Fes
FFD,FAIRFORD (RAF)
FGD,FDERIK
FGU,Fangatau
FHU,FORT HUACHUCA/SIERRA VISTA
FHZ,Fakahina
FIE,Fair Isle Airport
FIH,Kinshasa N'Djili Intl Apt
FJR,Fujairah
FKB,Karlsruhe/Baden-Baden Baden Airpark
FKI,Kisangani
FKJ,FUKUI
FKL,Franklin Chess Lamberton Apt
FKQ,Fak Fak
FKS,Fukushima
FLA,Florencia
FLB,FLORIANO/CANGAPARA
FLG,Grand Canyon Pulliam Field Airport
FLL,Fort Lauderdale/Hollywood Intl Apt
FLN,Florianopolis
FLO,Florence
FLR,Florence
FLS,Flinders Island
FLV,FT LEAVENWORTH SHERMAN AAF
FLW,Flores Island
FLZ,Ferdinand Lumban Tobing
FMA,Formosa
FMH,FALMOUTH/OTIS AFB
FMI,Kalemie
FMM,Memmingen
FMN,Farmington
FMO,Muenster/Osnabrueck
FMY,FT MYERS PAGE FLD
FNA,Freetown Lungi International Apt
FNB,NEUBRANDENBURG
FNC,Funchal
FND,Funadhoo
FNE,  Fane
FNI,Nimes
FNJ,Pyongyang
FNL,  Fort Collins/Loveland
FNT,Flint
FOA,FLORA MUNI
FOC,Fuzhou
FOD,Fort Dodge
FOE,TOPEKA FORBES
FOG,Foggia
FOM,FOUMBAN
FON,Fortuna
FOR,Fortaleza
FOS,FORREST
FPM,MELUN/VILLAROCHE
FPO,Freeport
FPR,FT PIERCE ST LUCIE CO INTL
FRA,Frankfurt International Apt
FRB,FORBES
FRC,FRANCA
FRD,Friday Harbor
FRE,Fera Island
FRG,FARMINGDALE/REPUBLIC
FRL,FORLI
FRO,Floro
FRS,Flores
FRU,Bishkek
FRW,Francistown
FRZ,FRITZLAR
FSC,Figari
FSD,Sioux Falls
FSK,FORT SCOTT MUNI
FSM,Fort Smith
FSP,St Pierre
FSS,KINLOSS
FSZ,Shizuoka
FTA,Futuna Island
FTE,El Calafate
FTG,FRONT RANGE DENVER
FTK,GODMAN AAF (FT. KNOX)
FTU,Tolanaro
FTW,FORT WORTH/MEACHAM INTL
FTY,ATLANTA/FULTON COUNTY
FUE,Fuerteventura
FUG,Fuyang
FUJ,Fukue
FUK,Fukuoka
FUN,Funafuti
FUO,Foshan
FUT,Futuna
FVM,Fuvahmulak Island
FWA,Fort Wayne Baer Field
FWC,FAIRFIELD MUNI
FWH,CARSWELL AFB
FXE,FORT LAUDERDALE EXECUTIVE
FYJ,Fuyuan Dongji
FYN,Fuyun Koktokay
FYT,FAYA LARGEAU
FYU,Fort Yukon
FYV,FAYETTEVILLE DRAKE FLD
FZO,BRISTOL/FILTON
GAD,NE ALABAMA RGNL AIRPORT
GAE,GABES
GAF,GAFSA/KSAR
GAH,GAYNDAH
GAJ,Yamagata
GAL,Galena
GAM,Gambell
GAN,Gan Island
GAO,Guantanamo Los Canos Apt
GAQ,GAO
GAS,Garissa
GAU,Guwahati
GAX,  Gamba
GAY,Gaya
GBB,Gabala
GBD,Great Bend
GBE,Gaborone
GBI,Kalaburagi
GBJ,MARIE GALANTE
GBT,Gorgan
GCC,Gillette
GCH,Gachsaran
GCI,Guernsey
GCJ,GRAND CENTRAL
GCK,Garden City
GCM,Grand Cayman Island
GCN,GRAND CANYON/NATIONAL PARK
GCO,CONCEPCION/CARMELO PERALTA
GCW,Grand Canyon West
GDB,Gondia
GDE,Gode
GDG,MAGDAGACHI
GDL,Guadalajara
GDN,Gdansk
GDO,GUASDUALITO
GDQ,Gonder
GDT,Grand Turk
GDV,Glendive
GDX,Magadan
GDZ,Gelendzhik
GEA,Noumea Magenta Apt
GEC,GECITKALE
GEG,Spokane International Apt
GEL,Santo Angelo
GEM,Mongomo
GEO,Georgetown
GER,Nueva Gerona
GES,General Santos
GET,Geraldton
GEV,Gallivare
GEY,SOUTH BIG HORN CO.
GFA,GREAT FALLS/MALMSTROM AFHP
GFF,Griffith
GFK,Grand Forks
GFL,GLENS FALLS FLOYD BENNETT MEML
GFN,Grafton
GFY,GROOTFONTEIN
GGB,Agua Boa
GGF,Almeirim
GGG,Longview
GGJ,Guaira
GGM,Kakamega
GGR,Garowe
GGS,GOBERNADOR GREGORE
GGT,George Town
GGW,Glasgow
GHA,Ghardaia
GHB,Governors Harbour
GHC,  Bullock Harbour
GHE,Garachine
GHF,GIEBELSTADT AAF
GHS,West Kutai Melalan
GHT,Ghat
GHU,GUALEGUAYCHU
GIB,Gibraltar
GHV,Brasov-Ghimbav
GIC,  Boigu Island
GIG,Rio de Janeiro International Apt
GII,SIGUIR
GIL,Gilgit
GIR,GIRARDOT / SANTIAGO VILA
GIS,Gisborne
GIT,Geita
GIU,Sigiriya
GIZ,Jizan
GJA,Guanaja
GJL,JIJEL/FERHAT ABBAS
GJM,GUAJARA-MIRIM
GJT,Grand Junction
GKA,Goroka
GKE,GEILENKIRCHEN
GKK,Kooddoo Island
GKN,GULKANA
GLA,Glasgow International Airport
GLD,GOODLAND RENNER FLD (GOD.MUNI)
GLE,GAINESVILLE MUNI
GLF,Golfito
GLH,Greenville
GLI,GLEN INNES
GLK,Galcaio
GLN,Guelmime
GLO,Gloucester/Cheltenham
GLS,GALVESTON INTL-SCHOLES FLD
GLT,Gladstone
GLU,Gelephu
GLV,Golovin
GLX,Gamar Malamo
GLZ,BREDA/GILZE-RIJEN
GMA,Gemena
GMB,Gambela
GME,GOMEL
GMI,  Gasmata Island
GML,KYIV/ANTONOV-GOSTOMEL
GMN,GREYMOUTH
GMO,Gombe
GMQ,Golog Maqin
GMP,Seoul Gimpo International Airport
GMR,Totegegie
GMU,GREENVILLE DOWNTOWN
GMZ,San Sebastian/Gomera
GNA,GRODNO
GNB,GRENOBLE ST GEOIRS
GND,Grenada
GNE,GHANZI
GNI,LYUDAO
GNJ,Ganja
GNM,GUANAMBI
GNR,GENERAL ROCA/FUERTE GRAL ROCA
GNS,Gunung Sitoli
GNT,GRANTS-MILAN MUNI
GNU,Goodnews Bay
GNV,Gainesville
GNY,Sanliurfa
GOA,Genoa
GOB,Robe
GOH,Nuuk
GOI,Goa
GOJ,Nizhny Novgorod
GOM,Goma
GON,GROTON/NEW LONDON
GOO,GOONDIWINDI
GOP,Gorakhpur
GOQ,Golmud
GOT,Goteborg Landvetter Apt
GOU,Garoua
GOV,Nhulunbuy
GOX,New Goa
GOY,GOYA
GOZ,GORNA/ORYAHOVITSA
GPA,ARAXOS AB
GPB,GUARAPUAVA
GPI,Guapi
GPO,GENERAL PICO
GPS,Baltra Island
GPT,Gulfport/Biloxi
GPZ,Grand Rapids
GRB,Green Bay
GRF,GRAY AAF AIRPORT FT LEWIS
GRI,Grand Island
GRJ,George
GRK,Killeen Gray AAF
GRO,Girona
GRP,GURUPI
GRQ,Groningen
GRR,Grand Rapids
GRS,GROSSETO
GRU,Sao Paulo Guarulhos Intl Apt
GRV,Grozny
GRW,Graciosa Island
GRX,Granada
GRY,GRIMSEY
GRZ,Graz
GSB,GOLDSBORO/SEYMOUR JOHNSON AFB
GSE,Goteborg City Apt
GSM,Gheshm Island
GSO,Greensboro/High Point
GSP,Greenville/Spartanburg Apt
GSQ,SHARK EL-OWINAT
GST,Gustavus Apt
GSU,GEDAREF
GSV,Saratov Gagarin
GTA,Gatokae SB
GTB,WHEELER SACK AAF
GTE,Groote Eylandt
GTF,Great Falls International Apt
GTH,CAIRO WEST MIL
GTO,Gorontalo
GTR,Columbus Golden Triangle Regional Apt
GTS,The Granites
GTZ,Grumeti
GUA,Guatemala City
GUB,Guerrero Negro Airport
GUC,Gunnison
GUH,GUNNEDAH
GUI,GUIRIA ALMIRANTE/C. COLON
GUJ,GUARATINGUETA
GUL,GOULBURN
GUM,Guam Antonio B Won Pat International
GUP,GALLUP MUNI
GUQ,GUANARE
GUR,Alotau
GUT,GUTERSLOH
GUW,Atyrau
GUY,GUYMON MUNI
GUZ,GUARAPARI
GVA,Geneva
GVE,GORDONSVILLE MUNI
GVN,Sovetskaya Gavan
GVR,Governador Valadares
GVT,GREENVILLE MAJORS
GVX,GAVLE
GWD,Gwadar
GWE,GWERU/THORNHILL
GWL,Gwalior
GWO,GREENWOOD/LEFLORE
GWT,Westerland
GWY,GALWAY
GXF,Sayun
GXG,NEGAGE
GXH,Xiahe
GXQ,COYHAIQUE/TENIENTE VIDAL
GYA,Guayaramerin
GYD,Baku Heydar Aliyev International Apt
GYE,Guayaquil
GYH,DONALDSON CENTER AIRPORT
GYI,  Gisenyi
GYL,ARGYLE
GYM,GUAYMAS
GYN,Goiania
GYP,GYMPIE
GYR,PHOENIX GOODYEAR
GYS,Guangyuan
GYU,Guyuan Liupanshan
GYY,GARY/CHICAGO INTL
GZA,GAZA INTL
GZG,Garze Gesar
GZO,Gizo
GZP,Gazipasa
GZT,Gaziantep
HAA,Hasvik
HAC,Hachijojima
HAD,Halmstad
HAE,  Supai Village
HAH,Moroni Prince Said Ibrahim
HAJ,Hannover
HAK,Haikou
HAM,Hamburg Airport
HAN,Hanoi
HAQ,Hanimaadhoo Island
HAS,Hail
HAU,Haugesund
HAV,Havana
HAW,HAVERFORDWEST
HBA,Hobart
HBE,Alexandria Borg el Arab
HBQ,Anyang Hongqiqu
HBR,HOBART
HBU,Bulgan (Khovd)
HBX,Hubli
HCJ,Hechi Jinchengjiang
HCN,Haibei Qilian
HCQ,HALLS CREEK
HCR,Holy Cross
HCZ,Chenzhou Beihu
HDB,HEIDELBERG AAF
HDD,HYDERABAD
HDF,HERINGSDORF
HDG,Handan
HDK,Kulhudhuffushi
HDM,HAMADAN
HDN,Hayden
HDO,Ghaziabad Hindon
HDS,Hoedspruit
HDY,Hat Yai
HEA,Herat
HEH,Heho
HEI,  Heide-B sum
HEK,Heihe
HEL,Helsinki-Vantaa
HEM,HELSINKI/MALMI
HEN,Helsinki Heliport
HER,Heraklion
HET,Hohhot
HEW,ATHENS/CENTRAL
HEZ,HARDY-ANDERS FLD/NATCHEZ-ADAMS
HFA,HAIFA
HFD,HARTFORD BRAINARD
HFE,Hefei
HFN,HOFN/HORNAFFJOROUR
HFS,Hagfors
HFT,Hammerfest
HGA,Hargeisa
HGD,Hughenden
HGH,Hangzhou
HGI,Donyi Polo
HGL,HELGOLAND-DUENE
HGN,Mae Hong Son
HGO,Korhogo
HGR,Hagerstown
HGU,Mount Hagen
HHA,  Changsha
HHE,HACHINOHE
HHH,Hilton Head Island
HHN,Frankfurt Hahn Airport
HHP,H K Heliport
HHQ,Hua Hin
HHR,NORTHROP/HAWTHORNE MUNICIPAL
HHZ,Hikueru
HIA,Huai'an
HIB,Hibbing/Chisholm
HID,Horn Island
HIF,OGDEN/HILL AFB
HIJ,Hiroshima
HIK,HICKAM
HIL,  Shilabo
HIN,Jinju
HIO,PORTLAND/HILLSBORO
HIR,Honiara
HIS,  Hayman Island
HIW,HIROSHIMANISHI
HIX,HIVA-HOA
HJJ,Huaihua
HJR,Khajuraho
HKB,Healy Lake
HKD,Hakodate
HKG,Hong Kong International Apt
HKK,Hokitika
HKN,Hoskins
HKT,Phuket
HKY,HICKORY REGIONAL
HLA,Johannesburg Lanseria International Apt
HLC,HILL CITY MUNI
HLD,Hailar
HLE,Saint Helena
HLF,HULTSFRED-VIMMERBY
HLG,WHEELING OHIO CO
HLH,Ulanhot
HLN,Helena
HLP,Jakarta Halim Perdanakusuma Apt
HLT,Hamilton
HLU,HOUAILOU-NESSON
HLZ,Hamilton
HMA,Khanty-Mansiysk
HMB,Sohag
HME,Hassi Messaoud
HMI,Hami
HMJ,  Khmelnitskiy
HMN,HOLLOMAN AFB
HMO,Hermosillo
HMS,Haji Muhammad Sidik
HMV,Hemavan/Tarnaby
HNA,Hanamaki
HND,Tokyo Intl (Haneda)
HNH,Hoonah
HNL,Honolulu International Apt
HNM,Hana
HNY,Hengyang Nanyue
HNS,Haines
HOB,Hobbs Lea County Apt
HOD,Hodeidah
HOE,Houeisay
HOF,Hofuf
HOG,Holguin
HOH,HOHENEMS/DORNBIRN
HOI,Hao
HOM,Homer
HON,Huron
HOP,CAMPBELL AAF (FT CAMPBELL)
HOQ,HOF-PLAUEN
HOR,Horta
HOT,Hot Springs
HOU,Houston Hobby Apt
HOV,Orsta/Volda
HOX,Homalin
HPA,HA APAI
HPB,Hooper Bay
HPG,Shennongjia Hongping
HPH,Haiphong
HPN,Westchester County
HQM,HOQUIAM/BOWERMAN
HQL,Tashkurgan Khunjerab
HQQ,Anyang Hongqiqu
HRB,Harbin
HRE,Harare
HRF,Hoarafushi
HRG,Hurghada
HRI,Hambantota
HRK,Kharkiv
HRL,Harlingen
HRM,HASSI RMEL
HRO,Harrison
HRR,HERRERA INTL
HSA,Aziret Sultan
HSC,Shaoguan Danxia
HSB,HARRISBURG-RALEIGH
HSE,HATTERAS BILLY MITCHELL
HSG,Saga
HSI,HASTINGS MUNI
HSK,  Huesca
HSL,Huslia
HSM,HORSHAM
HSN,Zhoushan
HSR,Rajkot
HST,HOMESTEAD
HSV,Huntsville International Airport
HSZ,HSINCHU
HTA,Chita
HTG,KHATANGA
HTI,Hamilton Island
HTL,HOUGHTON LAKE ROSCOMMON CO
HTM,Khatgal
HTN,Hotan
HTS,Huntington
HTT,Huatugou
HTY,Hatay
HUA,REDSTONE AAF(REDSTONE ARSENAL)
HUE,Humera
HUF,TERRE HAUTE INTL-HULMAN FLD
HUH,Huahine
HUI,Hue
HUL,HOULTON
HUN,Hualien
HUO,  Holingol Huolinhe
HUQ,  Houn
HUS,Hughes
HUT,HUTCHINSON MUNI-BUTLER FLD ARP
HUU,Huanuco
HUV,HUDIKSVAL
HUW,Humaita
HUX,Huatulco
HUY,Humberside
HUZ,Huizhou Pingtan
HVA,  Analalava
HVB,Hervey Bay
HVD,Khovd
HVG,Honningsvag
HVN,New Haven
HVR,Havre
HWD,HAYWARD EXECUTIVE
HWN,HWANGE NATIONAL PARK
HXD,Delingha
HXX,HAY
HYA,Hyannis
HYD,Hyderabad Rajiv Gandhi Intl Arpt
HYG,Hydaburg
HYL,Hollis
HYN,Taizhou
HYS,Hays
HZA,Heze Mudan
HZB,MERVILLE/CALONNE
HZD,HOLZDORF
HZG,  Hanzhong
HZH,Liping
HZK,HUSAVIK
IAA,Igarka
IAB,MC CONNELL AFB
IAD,Washington Dulles International Apt
IAG,Niagara Falls
IAH,Houston George Bush Intercontinental Ap
IAM,In Amenas
IAN,Kiana
IAO,Siargao
IAR,Yaroslavl
IAS,Iasi
IBA,Ibadan
IBE,Ibague
IBL,Indigo Bay Lodge
IBR,Ibaraki
IBZ,Ibiza
ICA,ICABARU
ICI,Cicia Island
ICK,NIEUW NICKERIE/MAJ. FERNANDES
ICN,Seoul Incheon International Airport
ICO,Sicogon
ICR,NICARO
ICT,Wichita Mid-Continent Apt
IDA,Idaho Falls
IDB,IDRE
IDO,CRISTALANDIA/STA ISABEL DO MOR
IDR,Indore
IEG,ZIELONA GORA/BABIMOST
IEJ,IEJIMA
IEV,Kiev Zhuliany Intl Apt
IFJ,Isafjordur
IFL,INNISFAIL
IFN,Esfahan
IFO,Ivano-Frankivsk
IFP,LAUGHLIN BULLHEAD INTL
IFU,Ifuru
IGA,Inagua
IGD,Igdir
IGG,Igiugig
IGH,INGHAM
IGL,IZMIR/CIGLI
IGM,Kingman
IGN,ILIGAN
IGQ,LANSING MUNI CHICAGO
IGR,Iguazu
IGS,INGOLSTADT MANCHING
IGT,Magas
IGU,Foz do Iguacu
IHR,Iran Shahr
IIA,INISHMAAN
IIL,Ilam
IIS,  Nissan Island
IJK,Izhevsk
IJX,JACKSONVILLE MUNI
IKA,Tehran Imam Khomeini International Apt
IKE,Ikerasak
IKI,Iki
IKK,KANKAKEE GREATER KANKAKEE
IKO,Nikolski
IKS,Tiksi
IKT,Irkutsk
IKU,Issyk-Kul
IKV,ANKENY REGL
ILA,ILOPANGO INTL
ILB,PEREIRA BARRETO/ILHA SOLTEIRA
ILD,Lleida
ILF,ILFORD
ILG,Wilmington Greater Wilmington Apt
ILI,Iliamna
ILM,Wilmington
ILN,WILMINGTON AIRBORNE PARK
ILO,Ilo-Ilo
ILP,Ile des Pins
ILQ,ILO
ILR,Ilorin
ILU,Kilaguni
ILY,Islay
ILZ,ZILINA
IMF,Imphal
IMK,  Simikot
IML,IMPERIAL MUNI
IMO,OWERRI
IMP,Imperatriz
IMT,Iron Mountain
INA,Inta Airport
INB,Independence
INC,Yinchuan
IND,Indianapolis
INE,AGADIR/INEZGANE
INF,IN GUEZZAM
INH,Inhambane
INI,NIS
INK,WINKLER CO
INL,International Falls
INN,Innsbruck
INT,WINSTON SALEM SMITH REYNOLDS
INU,Nauru Island
INV,Inverness
INW,WINSLOW
INZ,In Salah
IOA,Ioannina
IOM,Isle Of Man
ION,  Impfondo
IOQ,Isortoq
IOS,Ilheus
IOT,Illorsuit
IPA,Ipota
IPC,Easter Island
IPG,SANTO ANTONIO DO ICA
IPH,Ipoh
IPI,Ipiales
IPJ,LINCOLTON CO REGIONAL
IPL,Imperial County Apt
IPN,Ipatinga
IPT,Williamsport
IPU,IPIAU
IQA,AL ASAD AB
IQM,  Qiemo
IQN,Qingyang
IQQ,Iquique
IQT,Iquitos
IRA,Kirakira
IRC,Circle
IRD,ISHURDI
IRE,IRECE
IRG,Lockhart River
IRI,  Iringa
IRJ,La Rioja
IRK,Kirksville
IRM,Igrim
IRN,NOSHAHR
IRO,BIRAO
IRP,Isiro
IRZ,Santa Isabel Rio Negro
ISA,Mount Isa
ISB,Islamabad
ISC,Isles of Scilly St Mary's Apt
ISE,Isparta
ISG,New Ishigaki
ISI,ISISFORD
ISK,  Nasik
ISM,KISSIMMEE GATEWAY A/P ORLANDO
ISN,Williston
ISO,KINGSTON RGNL JETPORT
ISP,Long Island MacArthur
IST,Istanbul Airport
ISU,Sulaymaniyah
ITA,ITACOATIARA
ITB,Itaituba
ITH,Ithaca
ITK,  Itokama
ITM,Osaka Intl (Itami)
ITN,ITABUNA
ITO,Hilo
ITR,ITUMBIARA/HIDROELECTRICA
ITU,Iturup
IUE,Niue
IUI,Innarsuit
IUP,Apui
IVC,Invercargill
IVL,Ivalo
IVR,INVERELL
IWA,Ivanovo
IWD,Ironwood
IWJ,Masuda
IWK,Iwakuni
IWO,IWOJIMA
IXA,Agartala
IXB,Bagdogra
IXC,Chandigarh
IXD,Allahabad
IXE,Mangalore
IXG,Belgaum
IXH,KAILASHAHAR
IXI,NORTH LAKHIMPUR/LILABARI
IXJ,Jammu
IXK,KESHOD/JUNAGADH
IXL,Leh
IXM,Madurai
IXN,KHOWAI
IXP,  Pathankot
IXQ,KAMALPUR
IXR,Ranchi
IXS,Silchar
IXT,PASIGHAT
IXU,Aurangabad
IXW,JAMSHEDPUR
IXX,Bidar
IXY,KANDLA/GANDHIDHAM
IXZ,Port Blair
IYK,Inyokern
IZA,Juiz De Fora
IZT,Ixtepec
IZO,Izumo
JAA,JALALABAD
JAB,JABIRU
JAC,Jackson
JAD,PERTH/JANDAKOT
JAE,Shumba
JAF,KANKESANTURAI/JAFFNA
JAG,JACOBABAD
JAI,Jaipur
JAL,Jalapa
JAN,Jackson-Evers International Airport
JAQ,  Jacquinot Bay
JAR,Jahrom
JAU,Jauja
JAV,Ilulissat
JAW,Araripina
JAX,Jacksonville International Apt
JBB,Jember
JBQ,Higuero
JBR,Jonesboro
JCA,  Cannes
JCB,Joacaba
JCH,Qasigiannguit
JCK,Julia Creek
JCM,JACOBINA
JCR,JACAREACANGA
JCT,JUNCTION KIMBLE CO
JCU,Ceuta
JDF,Juiz De Fora
JDH,Jodhpur
JDN,JORDAN
JDO,Juazeiro Do Norte
JDR,Sao Joao Del Rei
JDZ,Jingdezhen
JED,Jeddah
JEE,Jérémie
JEG,Aasiaat
JEJ,  Jeh
JEK,  Jeki Airstrip
JEQ,JEQUIE
JER,Jersey
JFK,New York J F Kennedy International Apt
JFR,Paamiut
JGA,Jamnagar
JGB,Jagdalpur
JGC,Grand Canyon H/P
JGD,Jiagedaqi
JGN,Jiayuguan
JGO,Qeqertarsuaq
JGS,Jinggangshan
